# path	while	readUnchecked	charAt
lib/hieroglyph/src/core/hieroglyph.Unicode.scala	0	0	1
lib/honeycomb/src/core/honeycomb.Honeycomb.scala	0	2	0
lib/honeycomb/src/core/honeycomb.Html.scala	12	0	2
lib/honeycomb/src/core/honeycomb.Tag.scala	0	0	1
lib/honeycomb/src/core/honeycomb.internal.scala	20	0	1
lib/hyperbole/src/core/hyperbole.internal.scala	0	1	0
lib/hypotenuse/src/core/hypotenuse.Bcd.scala	7	0	3
lib/hypotenuse/src/core/hypotenuse.Decimal.scala	35	1	18
lib/hypotenuse/src/core/hypotenuse.internal.scala	4	0	0
lib/hypotenuse/src/core/hypotenuse.rationalInternal.scala	33	0	19
lib/hypotenuse/src/core/hypotenuse_core.scala	4	0	0
lib/jacinta/src/core/jacinta.Json.Parser.scala	57	12	0
lib/jacinta/src/core/jacinta.Json.scala	37	46	3
lib/jacinta/src/core/jacinta.JsonPointer.scala	1	0	4
lib/jacinta/src/core/jacinta.internal.scala	13	20	3
lib/kaleidoscope/src/core/kaleidoscope.JavaBaseRegex.scala	1	0	0
lib/kaleidoscope/src/core/kaleidoscope.Regex.scala	0	0	6
lib/locomotion/src/core/locomotion.Protobuf.scala	2	0	0
lib/locomotion/src/core/locomotion.ProtobufParser.scala	8	0	0
lib/locomotion/src/core/locomotion.ProtobufPrinter.scala	3	0	0
lib/mandible/src/core/mandible.Bytecode.scala	1	0	4
lib/metamorphose/src/core/metamorphose.Permutation.scala	1	0	0
lib/monotonous/src/core/monotonous.Alphabet.scala	5	6	1
lib/monotonous/src/core/monotonous.Deserializable.scala	0	0	1
lib/monotonous/src/core/monotonous.Serializable.scala	6	2	0
lib/mosquito/src/core/mosquito.Matrix.scala	50	34	0
lib/mosquito/src/core/mosquito.internal.scala	7	0	0
lib/murmuration/src/core/murmuration.SortAlgorithm.scala	29	0	0
lib/nomenclature/src/core/nomenclature.internal.scala	1	0	1
lib/nomenclature/src/core/nomenclature_core.scala	3	0	8
lib/obligatory/src/core/obligatory.ContentLength.scala	4	0	1
lib/octogenarian/src/core/octogenarian.Git.scala	2	0	0
lib/octogenarian/src/core/octogenarian.Patch.scala	3	0	0
lib/octogenarian/src/core/octogenarian.Worktree.scala	0	0	1
lib/panopticon/src/core/panopticon.internal.scala	1	0	0
lib/parasite/src/core/parasite.PoolingSupervisor.scala	5	0	0
lib/parasite/src/core/parasite.Timeout.scala	1	0	0
lib/parasite/src/core/parasite_core.scala	2	0	0
lib/perihelion/src/core/perihelion.Masking.scala	0	3	0
lib/perihelion/src/core/perihelion.Websocket.scala	1	2	0
lib/perihelion/src/core/perihelion_core.scala	0	4	0
lib/phoenicia/src/core/phoenicia.Sfnt.scala	1	5	0
lib/phoenicia/src/core/phoenicia.Truetype.scala	1	3	0
lib/plutocrat/src/core/plutocrat.internal.scala	1	0	6
lib/pneumatic/src/core/pneumatic.Deflater.scala	40	20	0
lib/pneumatic/src/core/pneumatic.Inflater.scala	48	17	0
lib/polaris/src/core/polaris.Debufferable.scala	0	4	0
lib/polysyllabic/src/core/polysyllabic.Hyphenation.scala	8	1	2
lib/polysyllabic/src/core/polysyllabic.TexPatterns.scala	7	0	8
lib/polysyllabic/src/core/polysyllabic_core.scala	8	0	5
lib/praxinoscope/src/core/praxinoscope.Motif.scala	7	0	2
lib/praxinoscope/src/core/praxinoscope.Pike.scala	4	0	0
lib/praxinoscope/src/core/praxinoscope.Program.scala	5	0	0
lib/praxinoscope/src/core/praxinoscope.Ranges.scala	4	0	0
